Index,Index1,Comments
124,5393,Top G for real!
125,5411,😂
126,5414,FREE PALESTINE
127,5427,Amos:2:1-9<br>Revelations:2:9
128,5434,Tate helped rating...
129,5512,Bottom G
130,5546,npcs
131,5561,Top g
132,5567,Go Tate!
133,5579,Dk
134,5706,.
135,5779,😂😂😂😂😂
136,5887,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=29m00s"">29:00</a> bars"
137,5913,TOP G TOP G
138,5989,"Not 1500 people, just 1200"
139,5993,My brotha!
140,6273,top G never caps
141,6361,Wow. Tate cooked him.
142,6377,He’s too good
143,6516,I RESPECT PEIRS FOR ALWAYS CHALLENGING HIM
144,6524,F Morgan
145,6747,😂😂😂😂
146,6825,Flowless Victory!! (Tate).
147,6861,Boom!
148,6865,A smart man!
149,6870,L 😂😂😂😂😂😂😂😂😂
150,6903,1000 PERCENT SPOT ON
151,6953,boooooom
152,7001,Tate I love you.
153,7043,Thank you Sir!
154,7072,Massive Respect Morgan. Massive.
155,7122,PIERS THERES A BULLET
156,7158,Tate L
157,7178,Top g
158,7219,Facts
159,7352,FREE PALESTINE
160,7361,Top G W
161,7370,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=13m51s"">13:51</a> OH YES THEY DO SMH"
162,7384,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=10m26s"">10:26</a>  MESSAGE!!!!"
163,7405,TOP G vs DA TOP P!
164,7413,Bravo Tate
165,7431,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=18m50s"">18:50</a>"
166,7503,TOP G FOREVER
167,7549,Wow.
168,7568,w
169,7573,2-0 Tate
170,7606,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=22m49s"">22:49</a> K.O"
171,7660,So fake
172,7671,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=22m55s"">22:55</a> <br><b>HAH GOTCHA</b>"
173,7683,TATE IS THE MAN !!!!
174,7686,Free Palatine
175,7699,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=0m37s"">0:37</a> lol"
176,7720,L boys
177,7732,L Tate
178,7842,Wow Tespect mr Tate
179,7844,GOOD CONVERSATION FROM BOTH SIDES
