Index,Comments
6377,He’s too good
6516,I RESPECT PEIRS FOR ALWAYS CHALLENGING HIM
6524,F Morgan
6747,😂😂😂😂
6825,Flowless Victory!! (Tate).
6861,Boom!
6865,A smart man!
6870,L 😂😂😂😂😂😂😂😂😂
6903,1000 PERCENT SPOT ON
6953,boooooom
7001,Tate I love you.
7043,Thank you Sir!
7072,Massive Respect Morgan. Massive.
7122,PIERS THERES A BULLET
7158,Tate L
7178,Top g
7219,Facts
7352,FREE PALESTINE
7361,Top G W
7370,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=13m51s"">13:51</a> OH YES THEY DO SMH"
7384,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=10m26s"">10:26</a>  MESSAGE!!!!"
7405,TOP G vs DA TOP P!
7413,Bravo Tate
7431,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=18m50s"">18:50</a>"
7503,TOP G FOREVER
7549,Wow.
7568,w
7573,2-0 Tate
7606,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=22m49s"">22:49</a> K.O"
7660,So fake
7671,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=22m55s"">22:55</a> <br><b>HAH GOTCHA</b>"
7683,TATE IS THE MAN !!!!
7686,Free Palatine
7699,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=0m37s"">0:37</a> lol"
7720,L boys
7732,L Tate
7842,Wow Tespect mr Tate
7844,GOOD CONVERSATION FROM BOTH SIDES
7857,TATE ON TOP<br>TATE ON TOP<br>TATE ON TOP<br>but<br><br>PIERCE ON FLOP <br>PIERCE ON FLOP <br>PIERCE ON FLOP
7866,THANK U<br>TATE.
7946,Tate got him!!!
8046,Very good show
8077,"THE WORLD IS CRUEL.  <br>DON&#39;T BELIEVE WHAT YOU SEE, MANIPULATION IS REAL, THIS IS ALSO NOT REAL. NOBODY CARES."
8078,PIERS YOU LOST!!! EMBRACE IT!!!
8085,Old mN
8124,Tate
8126,First L for Tate
8135,🐖🐖🐖🐖
8365,😂😂😂😂AND TO IRRADICATE AMERICA TO .
8414,AT. Is great.
8432,Nice one
8470,Tate top G
8585,THEY ARE NOT NUMBERS. THEY ARE PEOPLE
8589,clown
8659,Free pls
8667,Common Tate W
8684,Tate won!
8738,Sick
8798,Thank you Tate
8838,GRIFTERS.
8864,1500?? 1500????
8970,Go 2 hell
8972,Great Interview
9087,L tate
9123,😂😂😂
9156,IT’S NOT BLACK AND WHITE PIERS.
9257,Tate for president
9353,Tate 100% WON.
9391,These 2 😂😂😂😂😂😂😂
9411,Checkmate
9485,Love you Tate !
9555,Special edition
9572,REALLY!!!!!!!!????????
9596,Top g
9642,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=27m49s"">27:49</a> 😂"
9930,4+4=?
9961,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=18m23s"">18:23</a> utilitarianism"
10023,Tate owning Morgan
10062,Tate 1-0
10106,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=10m20s"">10:20</a><br><a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=27m30s"">27:30</a>"
10190,Truth
10255,Top G
10290,Top G
10314,😅😅😅
10440,PIERS IS A LIAR!!!
10449,THERE&#39;S OIL IN GAZA
10450,😂😂😂😂😂😂😂
10455,ISRAEL APARTHEID REGIME
10458,BALFOUR DECLARATION
10485,..
10501,..
10524,Tate for president
10550,Long live TOP G
10555,Perfect
10657,Bravo Tate
10661,Bamboo Gate
10672,Tan Blue Plate
10781,Tate wins again
10789,Thank you Mr Tate
10798,&quot;Professional&quot; 😂😂😂
10808,Peacemaker- my ar*se
10859,و
10867,Thank you Tate
10901,Interesting
10907,Balls !
10913,Looks like Jon Cryer
10962,Free plalistene
10966,Double standards
10996,Tate for President🙏
11079,TOP G!
11089,Top G
11094,"Worst interview ever,"
11176,Top g
11202,Thank you Tate !
11208,Respect
11245,Salute top G
11281,WW2WAS THE PLAN TO SEND JUICE TO THERE &quot;Promis&quot; LAND...IT WAS AL PART OF THIS PLAN ALSO WW1!!!
11309,Long live Master PUTIN 🙏
11330,Top G boiiiiiii!
11472,Top G 🖖
11474,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=22m40s"">22:40</a>"
11509,Tate for president
11518,First
11627,MY G😂
11740,COMMON TATE WIN YALL
11789,GOD mp stop laying
11880,Hahhahahahahahahahahahhahahahahahahahahhahahaahahah
11912,pIERS PAID 150K AND A BOX OF CHOCOLATES FOR THIS
11942,Thank you Tate
11964,Top G!
12036,Top G
12043,&quot;i hAvE SpOKenN For MaNY yEArS fOR tHe plIGhT oF PaLeNStInIAnS&quot;
12057,ARE THEY A TERROR GROUP!
12076,Perfect
12093,Respect bro
12175,Hey Neo
12207,Roasted Morgan?
12272,Top G
12456,Top G
12641,"TBC <a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=4m49s"">4:49</a>"
12671,Wow.
12718,Tate for president!!!
12726,Great interview.
12742,&quot;AH OCTOBER THE SEVENTH &quot;
12758,Tate tate tate
