Index,Index1,Comments
166,3913,BEST QUEEN REACTION EVER...
167,3914,BEST QUEEN REACTION EVER...
168,3979,625 700..😂😂😂
169,3986,"<a href=""https://youtu.be/_DRImik3MBo"">https://youtu.be/_DRImik3MBo</a>"
170,4002,Freddy Mercury
171,4023,Freddy mercury
172,4042,Best. Reaction. Ever.
173,4045,Your a fool
174,4056,Freddy mercury
175,4057,Or ANYTHING slipknot
176,4092,Do one PINK FLOYD reaction.
177,4105,KEEP THIS GOING
178,4161,Freddy
179,4163,Freddy Mercury.
180,4186,Your too cute .....
181,4196,U can&#39;t beat Queen
182,4251,Classiccccc
183,4326,Your expressions...OMG!
184,4413,Rip freddy
185,4414,Hahahah. Your welcome.
186,4441,Freddy Mercury
187,4501,Loved your reaction!!
188,4552,lol
189,4602,Dr Brian May!
190,4621,Freddy mofuckin Mercury
191,4652,Joey murcery
192,4662,You&#39;re funny man
193,4667,Freddy Mercury
194,4708,Mercury
195,4710,Good shit bro
196,4738,Freddy 🐐
197,4756,7.43 youre welcome
198,4775,Love your reaction !!
199,4806,freddy mercury
200,4809,R.I.P. Freddy Mercury......
201,4824,GWAR !!!!!!
202,4831,"Love you , man."
203,4848,Orange Room Bad!
204,4866,BIFFLE SMIFFLE GRIFFS!!!
205,4875,YOU NEED A POP FILTER!
206,4885,Hahahaaaaahaaa
207,4960,AMEN
208,4968,Freddy Mercury
209,5000,Freddy mercury
210,5025,lol
211,5030,LIVE AID 1985 QUEEN PLS
212,5038,"THE BEST REACTION,PERIOD"
213,5039,Nice reaction Shaq
214,5051,Oh no
215,5072,YONDU IS HERE!
216,5095,Your on crack
217,5115,INFANT ANNIHILATOR!!!! &quot;BLASPHEMIAN&quot;
218,5135,Mercury looks.....
219,5168,😂😂😂😂😂
220,5208,GO BUCKS
221,5217,Uncultured swine
222,5228,LED ZEPPELIN. WHEN THE LEVEE BREAKS
223,5267,AHAHAHAHA A VHRISTMAS CAROL
224,5284,Fat Bottom Girls!
225,5286,GANGSTA!!!
226,5302,Do PinkFloyd - Echoes Live at Pompeii
227,5351,BULLSHIIIIIIIIIIITTTTTTT
228,5377,RIP MR MERCURY
229,5380,best Queen reaction video !!!
230,5392,Bad Brains!!!!!!!!
231,5393,IS THIS A CRISTMAS CAROL
232,5415,"I LISTENED, AND TURNED PEOPLE ON TO THIS WHEN I WAS IN 7TH GRADE"
233,5421,PINK FLOYD
234,5433,Hahahahahahahhahaha
235,5473,"<a href=""https://youtu.be/op07UzSCu4c"">https://youtu.be/op07UzSCu4c</a> :)"
236,5520,Lmaoooo
237,5603,Check out KISS.
238,5646,R.I.P FREDDIE!!!
239,5657,BRAZIL!!!!!
240,5670,WHAT THE FUCK IS GOING ON!!!!!!!
241,5684,So fing entertaining...lol
242,5709,Freddy mercury
243,5711,Go Bucks!
244,5735,Rock Opera.
245,5747,Haha! You&#39;re so funny!
246,5756,IT SOUND LIKE A CHRISTMAS CAROL!! DEAD.
247,5757,Mercury
248,5772,Go Bucks!!!
249,5783,"<a href=""https://youtu.be/9enOd3Z7vcY"">https://youtu.be/9enOd3Z7vcY</a>"
250,5927,I love it
251,5950,😂😂😂
252,5962,queen-under pressure coach
253,6018,WHAT THE FUCK IS GOIN ON
254,6062,Rip freddy
255,6094,Larry lurex
256,6139,Slipknot NO LIFE
257,6145,Pink Floyd- comfortably numb
258,6150,"<a href=""http://www.youtube.com/results?search_query=%23LONGLIVEFREDDIEMERCURY"">#LONGLIVEFREDDIEMERCURY</a> <a href=""http://www.youtube.com/results?search_query=%23LONGLIVEQUEEN"">#LONGLIVEQUEEN</a>"
259,6151,GO BUCKSSSS
260,6157,Great reaction!  I subscribed
261,6161,Lol!
262,6182,😂😂😂😂😂😂
263,6239,Freddy murcury
264,6293,LOL!
265,6337,CLASSIC
266,6383,Love your reaction so funny. Xx
