Index,Index1,Comments
189,1888,"<a href=""https://youtube.com/shorts/M9JlDvIu7PY?feature=share"">https://youtube.com/shorts/M9JlDvIu7PY?feature=share</a>"
190,1889,😘😘😘😘😘😘
191,1901,SHE HAS ALOT OF BAGS
192,1909,Hi
193,1911,Ok
194,1928,I WISH I HAD THAT MANY HAND BAGS :(
195,1931,I love car roof Inside
196,1993,Yuck.
197,1996,Love kylie
198,2003,THAT BAG ROOM :OOO
199,2026,LOVE U BABE
200,2042,I love it
201,2043,From India
202,2077,THAT GIRL RICH RICH
203,2086,We need more vlogs)))
204,2092,My fav!!!!!
205,2099,Hi
206,2125,Hi stormi
207,2126,&lt;&lt;&lt;&lt;-&lt;3 &lt;3 &lt;3 &lt;3 &lt;3 &lt;3-&gt;&gt;&gt;&gt;
208,2128,Purr
209,2177,Love Is
210,2195,Stormi
211,2211,Hello
212,2223,o
213,2231,Pilatus for you
214,2237,CD/DVD
215,2245,I love momy
216,2253,We folding s777 up
217,2269,Dog
218,2285,Wow
219,2291,"<a href=""https://gofund.me/132bcc69"">https://gofund.me/132bcc69</a>"
220,2297,`
221,2312,Hi
222,2320,I love kk both
223,2326,Thanks kylie
224,2348,POLICE
225,2358,Hi
226,2379,Hi gLoG
227,2389,Ahh
228,2393,Hi
229,2416,Hi
230,2436,Love it
231,2439,I love her
232,2455,Good morning baby
233,2488,😘😘😘😘😘😘😘😘
234,2495,Omg 😂
235,2520,Why
236,2526,Kris: GGLOOGG
237,2534,Dislike
238,2543,JESUS LOVES YOU &lt;3
239,2548,Here in 2022 (soon)
240,2549,Lol
241,2562,Wow
242,2575,Nice
243,2595,CUTE
244,2600,Hello
245,2607,Z
246,2608,S
247,2609,S
248,2610,D
249,2611,kylie&#39;s lip kit!!
250,2623,THE AMOUNT OF TIMES THEY SCREAMED
251,2628,I love you so cute
252,2638,https://youtu.be/nAwWwJq5JnM
253,2640,123...
254,2642,"<a href=""https://youtube.com/c/Rin27"">https://youtube.com/c/Rin27</a>"
255,2646,I AM DYING AT THE JOSE ELEVATOR INCIDENT AHAHAHAHA
256,2668,Hol!
257,2677,Aww
258,2682,love you
259,2684,i love you kylie
260,2695,Wow
261,2698,gLoG
262,2703,Love you
263,2708,Impressive
264,2709,Hi
265,2715,Love storm
266,2716,Omg.
267,2720,"<a href=""https://youtube.com/channel/UC2MrHEXcMW1yt6yrMWHsEDg"">https://youtube.com/channel/UC2MrHEXcMW1yt6yrMWHsEDg</a>"
268,2722,Kyi/
269,2737,Nice!!
270,2745,Love
271,2759,love you kylie
272,2761,Hi
273,2768,Yay
274,2780,Ou
275,2782,Sooo good
276,2783,hey
277,2788,I live you kylie😘😘😘
278,2791,"<a href=""https://youtu.be/w3ZtMwlcbuc"">https://youtu.be/w3ZtMwlcbuc</a>"
279,2792,Love you Kyle
280,2793,THE WAY STORMI SAYS MAMA KILLS ME EVERY TIME LMFAO
281,2794,Me to
282,2814,Extremely expensive vlog
283,2826,אמאלה
284,2827,Nikita lOL
285,2828,Moore stormy
286,2836,Materialistic people
287,2866,Hiii
288,2867,Hiiiiii
289,2868,Hiii
290,2872,More vlogs pls
291,2885,B
292,2886,Hello
293,2924,I CAME BACK AFTER 2 YRS AND REALIZED THE &quot;HI HARRYYY&quot;
294,2933,Hi
295,2942,https://youtube.com/shorts/WBQpJzL2rdg?feature=share
296,2948,Love you
297,2970,USA.
298,2971,USA
299,2976,"<a href=""https://youtu.be/fhccDEPPjGg"">https://youtu.be/fhccDEPPjGg</a>"
300,2980,I LOVE YOU SO MUCH
301,2985,me gusto
302,2991,Vibee
303,3016,sTOrm StoRm
304,3019,MOMMY
305,3020,OPEN ITTT OPEN ITTT ARIEL OPEN ITTT AHHHHHHHH
306,3024,"Stormiii, she&#39;s so cute"
307,3038,I love you kylieeeeee
308,3042,Woooo
309,3043,her cracked screen
310,3044,Awww
311,3047,Ft
312,3052,THE PURSES IM SO JEALOUS
313,3068,I love your style
314,3076,Yea
315,3121,i Love you baby
316,3131,a
317,3139,Hi bro
318,3156,"<a href=""https://youtu.be/dtdXC7AOBt8"">https://youtu.be/dtdXC7AOBt8</a>"
319,3168,STORMI WAS SO CUTE
320,3169,Nice
321,3183,I WANT TO BE STORMI
322,3187,😘😘😘
323,3221,HEATHER LOOKS LIKE SHES WEARING A SWINSUIT LMAOO
324,3223,"<a href=""https://www.youtube.com/watch?v=5UKnX3ISZpk"">https://www.youtube.com/watch?v=5UKnX3ISZpk</a><br><a href=""https://www.youtube.com/watch?v=nQVqqxUrf_I&amp;t=32s"">https://www.youtube.com/watch?v=nQVqqxUrf_I&amp;t=32s</a>"
325,3240,Sheesh
326,3273,Trash
327,3310,Nice
328,3318,Hola
329,3333,I like her
330,3354,God Bless
331,3369,Hi kylie
332,3373,Dream
333,3374,true friendship...
334,3388,GIRL MY BIRTHDAY IS JUNE 5th
335,3394,Hello
