Index,Comments
2291,"<a href=""https://gofund.me/132bcc69"">https://gofund.me/132bcc69</a>"
2297,`
2312,Hi
2320,I love kk both
2326,Thanks kylie
2348,POLICE
2358,Hi
2379,Hi gLoG
2389,Ahh
2393,Hi
2416,Hi
2436,Love it
2439,I love her
2455,Good morning baby
2488,😘😘😘😘😘😘😘😘
2495,Omg 😂
2520,Why
2526,Kris: GGLOOGG
2534,Dislike
2543,JESUS LOVES YOU &lt;3
2548,Here in 2022 (soon)
2549,Lol
2562,Wow
2575,Nice
2595,CUTE
2600,Hello
2607,Z
2608,S
2609,S
2610,D
2611,kylie&#39;s lip kit!!
2623,THE AMOUNT OF TIMES THEY SCREAMED
2628,I love you so cute
2638,https://youtu.be/nAwWwJq5JnM
2640,123...
2642,"<a href=""https://youtube.com/c/Rin27"">https://youtube.com/c/Rin27</a>"
2646,I AM DYING AT THE JOSE ELEVATOR INCIDENT AHAHAHAHA
2668,Hol!
2677,Aww
2682,love you
2684,i love you kylie
2695,Wow
2698,gLoG
2703,Love you
2708,Impressive
2709,Hi
2715,Love storm
2716,Omg.
2720,"<a href=""https://youtube.com/channel/UC2MrHEXcMW1yt6yrMWHsEDg"">https://youtube.com/channel/UC2MrHEXcMW1yt6yrMWHsEDg</a>"
2722,Kyi/
2737,Nice!!
2745,Love
2759,love you kylie
2761,Hi
2768,Yay
2780,Ou
2782,Sooo good
2783,hey
2788,I live you kylie😘😘😘
2791,"<a href=""https://youtu.be/w3ZtMwlcbuc"">https://youtu.be/w3ZtMwlcbuc</a>"
2792,Love you Kyle
2793,THE WAY STORMI SAYS MAMA KILLS ME EVERY TIME LMFAO
2794,Me to
2814,Extremely expensive vlog
2826,אמאלה
2827,Nikita lOL
2828,Moore stormy
2836,Materialistic people
2866,Hiii
2867,Hiiiiii
2868,Hiii
2872,More vlogs pls
2885,B
2886,Hello
2924,I CAME BACK AFTER 2 YRS AND REALIZED THE &quot;HI HARRYYY&quot;
2933,Hi
2942,https://youtube.com/shorts/WBQpJzL2rdg?feature=share
2948,Love you
2970,USA.
2971,USA
2976,"<a href=""https://youtu.be/fhccDEPPjGg"">https://youtu.be/fhccDEPPjGg</a>"
2980,I LOVE YOU SO MUCH
2985,me gusto
2991,Vibee
3016,sTOrm StoRm
3019,MOMMY
3020,OPEN ITTT OPEN ITTT ARIEL OPEN ITTT AHHHHHHHH
3024,"Stormiii, she&#39;s so cute"
3038,I love you kylieeeeee
3042,Woooo
3043,her cracked screen
3044,Awww
3047,Ft
3052,THE PURSES IM SO JEALOUS
3068,I love your style
3076,Yea
3121,i Love you baby
3131,a
3139,Hi bro
3156,"<a href=""https://youtu.be/dtdXC7AOBt8"">https://youtu.be/dtdXC7AOBt8</a>"
3168,STORMI WAS SO CUTE
3169,Nice
3183,I WANT TO BE STORMI
3187,😘😘😘
3221,HEATHER LOOKS LIKE SHES WEARING A SWINSUIT LMAOO
3223,"<a href=""https://www.youtube.com/watch?v=5UKnX3ISZpk"">https://www.youtube.com/watch?v=5UKnX3ISZpk</a><br><a href=""https://www.youtube.com/watch?v=nQVqqxUrf_I&amp;t=32s"">https://www.youtube.com/watch?v=nQVqqxUrf_I&amp;t=32s</a>"
3240,Sheesh
3273,Trash
3310,Nice
3318,Hola
3333,I like her
3354,God Bless
3369,Hi kylie
3373,Dream
3374,true friendship...
3388,GIRL MY BIRTHDAY IS JUNE 5th
3394,Hello
3418,Hl
3419,"<a href=""https://youtu.be/K7zTSQdgMiI"">https://youtu.be/K7zTSQdgMiI</a>"
3434,I love Kylie
3447,GLOG
3452,love  you
3458,Disgusting
3461,hi😙
3468,J
3470,gud
3474,y love you
3480,Were travis
3481,19th December 2017
3482,love
3490,Glog
3513,Hermosa😘
3526,Hi
3545,L
3552,Hi kylie!! IM YOURE BIGGEST FAN EVER!!
3599,Nice
3605,13.8.21.
3607,"<a href=""https://youtu.be/dtdXC7AOBt8"">https://youtu.be/dtdXC7AOBt8</a>"
3631,Same
3643,BAHAHA “GLOG”
3680,i&#39;m back lol
3739,Adopt me pls
3744,fan soy tu
3745,l love yuo
3761,.
3762,i love your makeup   soo much...
3771,Napim
3797,Wow
3804,LOVE YOU
3809,Hi
3821,“WE LOVE YOU HO3”
3831,Mamah
3848,CAN U ADOPT MEEEE
3858,Hi
3865,"YEAH, I&#39;M POOR 😞😞😞"
3873,&quot;I love you&quot;
3887,😀
3892,<b>Kylie</b>
3893,I love you Kylee
3943,STORMI IS ADORABLE
3945,Lo ca
3957,"<a href=""https://youtu.be/qjXY-80QHRY"">https://youtu.be/qjXY-80QHRY</a>"
3960,I live in Honduras
3961,I love you
3968,STORMI IS SUCH A CUTIE
4003,Hey
4022,I love food
4025,I m Slipknot Slipknot
4026,I M METS  FANS
4030,Some time I like VIKINGS MN
4031,I m Vegas raiders fans
4037,SPREAD THE GOSPEL JESUS LOVES YOU SO MUCH
4046,"<a href=""https://youtu.be/ejM2rAnDHw0"">https://youtu.be/ejM2rAnDHw0</a>"
4053,I love you
4076,"<a href=""https://youtu.be/c8Qz0aiQ93Y"">https://youtu.be/c8Qz0aiQ93Y</a>"
4077,"<a href=""https://youtu.be/VmCRCVVXn4I"">https://youtu.be/VmCRCVVXn4I</a>"
4079,Hi kylie
4102,I love stormiii
4103,&quot;
4144,Hi
4157,Glog
4200,AND BY THE WAY U ARE A GRATEMOM
4219,"<a href=""https://youtu.be/QOuIX1WS1y0"">https://youtu.be/QOuIX1WS1y0</a>"
4220,Ahh
4226,WOW
4240,Cubana
4248,Cute baby
4259,Hi
4267,"<a href=""https://youtu.be/I6bmY04HU8I"">https://youtu.be/I6bmY04HU8I</a>"
4268,I lovee krisss
4293,I subscribed &lt;3
4304,Kylie
4311,Honey I love your videos
4314,THE ELEVATOR PART OMG I BARELY CAN BREATH
4318,5.49
4321,Hi
4325,I love you Kylie
4335,We need more vlogs
4341,&quot;So cyoo !&quot;
4377,Gorgrous lady
4391,atorment
4399,Tankiyu
4400,You Speak Spanish You Speak Spanish
4452,LOVE
4460,Lol
4467,Great Artwork
4469,Stormy looks so cute
4472,Shut up
4479,WHATS THE VIBE SONG WHEN SHE RIDES HER BLUE RR????????????????? LMAO SIRI CAN&#39;T FIND IT
4483,hi
4489,I love u
4490,Omg omg omg
4519,"<a href=""https://youtu.be/4hdXqpbm_EA"">https://youtu.be/4hdXqpbm_EA</a>"
4523,Pin?
4554,FELOL
4583,.
4601,Hi
4604,"<a href=""https://youtu.be/nSE-6cq9dsA"">https://youtu.be/nSE-6cq9dsA</a>"
4607,"<a href=""https://youtube.com/channel/UC77aK9Nzq4AhC4pBPJKirMw"">https://youtube.com/channel/UC77aK9Nzq4AhC4pBPJKirMw</a>"
4615,"<a href=""https://youtu.be/ePv7h0B1Q2A"">https://youtu.be/ePv7h0B1Q2A</a><br>Hallo"
4616,Hello
4621,Stormy: mama
4626,ok
4630,cat  cup
4647,Hi I love you
4660,Love your style
4667,Kyliee
4668,Hii
4684,.MY EARS. THO
4696,i like your  content
4701,"BILIJAR,POKER, U PIKADU LOS,JEZIK GOVOR 0,00000000,"
4727,Nice
4733,I love you Kylie
4740,"<a href=""https://youtube.com/shorts/mHxTHP7pl1s?feature=share"">https://youtube.com/shorts/mHxTHP7pl1s?feature=share</a>"
4758,I love you  k
4767,shit
4790,hi
4799,Hollo
4804,Hello
4808,"<a href=""https://youtu.be/q_gtUx5PRAY"">https://youtu.be/q_gtUx5PRAY</a>"
4831,&quot;Its vlog&quot;<br><b>&quot;Glog&quot;</b>
4848,Kylie
4849,Kylie
4850,Kylie!!
4856,OMG
4878,100k comment😏
4889,"<a href=""https://youtu.be/bAQzZvutTlo"">https://youtu.be/bAQzZvutTlo</a>"
4896,11111
4916,Love cardachans
4917,Love cardachans
4934,2021?
4938,Wish I hade a mom like Stormi
4943,Wow
4944,Queen
4945,Wow
4949,THAT&#39;S A LOT OF PURSE-
4952,Omg
4953,I like u
4955,Stormi bad
4957,Voice*
4963,Perverts:WHY DIDNT YOU KEEP YOIR CAMERA ON AND POINTING AT THE SHOWER WHEN YOU WERE TAKING A SHOWER T-T
4968,&quot;HIII HARRYYYYY!!!&quot;
4978,Hi blog
4989,Wow
5001,Oooop
5008,"<a href=""https://youtu.be/FalbTUE2lwU"">https://youtu.be/FalbTUE2lwU</a>"
5016,Good morning lolll cute
5031,Hellou kilie
5043,more vlogss kylie&lt;3
5045,Green
5046,Green
5047,Green
5048,Green
5049,Hahahaha
5050,Blow up
5051,Gay
5052,Gay
5053,Gay
5054,Gay
5055,Gay
5056,Gay
5057,Your gay
5061,😘😘😘
5073,I a fan
5074,Hi
5078,"<a href=""https://youtu.be/c-4v93LFiy0"">https://youtu.be/c-4v93LFiy0</a>"
5080,Hi
5083,Hi  Kylie
5089,Good
5096,"Wicked <a href=""http://one.save/"">one.save</a> it.risky"
5116,"<a href=""https://youtu.be/iUniLWGRsAc"">https://youtu.be/iUniLWGRsAc</a> ,,"
5145,Cool
5153,Plastic girl
5162,"<a href=""https://youtu.be/bEvSq1whm-k"">https://youtu.be/bEvSq1whm-k</a>"
5174,AHHHHHHHHHHHHHHHHHH THE SCENE WITH JOSE WAS THE FUNNIEST THING EVER IM DYING LMFAOOOOOOOOOOOOOOOOOO
5177,Fjhdhtfsdhi
5178,Love you
5200,Kylie: VLOG<br>Kris: BLOG<br>Kylie: MOOOOMMMMYYYYYYYY
5202,I love you kylie
5227,Happy Birthday
