Index,Index1,Comments
211,5499,HOLAAA
212,5512,hermosa:)
213,5515,nice video
214,5526,idc
215,5527,IT IS VERY GOOD FROM YOU THAT YOU MAKE THIS VIDEO ABOUT COVERING AKNE.I HAVE GOT AKNE AND IT IS REALLY BAD FOR ME.
216,5545,love it
217,5603,"
skincarEkit.info"
218,5641,"
skincarEkit.info"
219,5696,"
skincarEkit.info"
220,5748,"
skincarEkit.info"
221,5795,YOU LOOK LIKE TAYLOR SWIFT!!!!!!
222,5810,brave girl
223,5839,"
skincarEkit.info"
224,5844,"
skincarEkit.info"
225,5853,Ooh my !
226,5859,Super
227,5909,Love u!!!
228,5953,I love ur eyes!
229,5995,You&#39;re cute
230,6066,"salute you!
"
231,6113,"Ur eyes... Uh... R 
Just.perfect."
232,6133,Your gorgeous
233,6169,Use proactive
234,6225,I mean very beautyfull
235,6259,Great! Thank you :-)
236,6285,"
skincarEkit.info"
237,6289,Nice
238,6296,"I FEEL WHAT YOU FEEL, I HAVE A LOTS OF PIMPLES TOO :&#39;("
239,6313,Thanks xoxo
240,6328,"
skincarEkit.info"
241,6337,"
skincarEkit.info"
242,6357,And 6:28
243,6377,"OMG. Youre so brave,"
244,6393,U look like a man
245,6419,"omg
"
246,6423,"YOUR AMAZING!
"
247,6435,you&#39;re gorgeous
248,6482,so much respect! 3
249,6492,"Beauttiful :)
"
250,6495,I love your eyes.
251,6496,:(
252,6498,YOUR BEAUTIFUL WITH AND WITHOUT MAKE UP
253,6520,YOU GO GIRL! 
254,6535,I like your confidence :)
255,6552,ugh.
256,6559,baaaaaahhhhh
257,6613,grooooooooooooooooooooooooooooooooooooooooooooooooooooss
258,6615,"OH MY GOD. WITHOUT MAKE LOOKS HORRIBLE IN MY OPINION. YOU NEED 100% MAKE UP........
"
259,6633,"you look like my but
"
260,6634,"you look bad
"
261,6661,@ JACOB. YOU&#39;RE PATHETIC!
262,6736,"Great video, your makeup looks flawless!"
263,6746,/watch?v=TJBR5IOLI7w 
264,6836,"
skincarEkit.info"
265,6846,Respect.
266,6855,It looks so cakey
267,6871,"i love your eyes!!!
"
268,6918,Omg
269,6947,YOUR EYES OMG YAS
270,6991,oh my
271,7048,"
skincarEkit.info"
272,7056,Omg:(
273,7094,Yikes
274,7102,YOU&#39;RE SO BEAUTIFUL!! x
275,7161,CHECK OUT MY HUGE GIVEAWAY ON MY CHANNEL!!!
276,7170,"Thank you so ,u"
277,7197,i love your eyes
278,7210,Respect!
279,7227,"Ur perfect &lt;3
"
280,7230,"nice....!!!!!!!!!!
"
281,7280,Wooooow
282,7296,"YOU&#39;RE BEAUTIFUL WITHOUT MAKEUP
"
283,7307,&lt;3!
284,7316,"Thank you Rafael&lt;3
"
285,7328,Proactive*? lol xD
286,7332,Try Proaktiv
287,7356,"YOU ARE BEAUTIFUL WITH OUT MAKE UP, TOO."
288,7385,Luv u
289,7388,"love your eyes
"
290,7392,Your gorg!!
291,7439,master .-.
292,7447,(&#39;:
293,7449,I love her.
294,7465,Subscribed:)
295,7478,you&#39;re*
296,7494,YOU ARE AMAZING! TKS!!!!! LORENA FROM ECUADOR
297,7562,Hi
298,7571,10:29 lol..
299,7572,Wooow
300,7623,you&#39;re*
301,7624,Thank you so much !
302,7625,Thank you so much !
303,7626,*your
304,7636,I LOVE YOU 3
305,7637,Fake bitch
306,7674,YOU ARE SO BRAVE
307,7697,Omg perfect covereg
308,7761,Girlpower
309,7764,"
skincarEkit.info"
310,7783,"
skincarEkit.info"
311,7807,._.
312,7849,I love u
313,7855,"
skincarEkit.info"
314,7874,"
skincarEkit.info"
315,7886,"
skincarEkit.info"
316,7918,try proactiv
317,7920,RESPEKT ! :)
318,8012,OoMmGg
319,8016,youre brave! keep going
320,8020,"
skincarEkit.info"
321,8029,Too much blush
322,8043,Omg
323,8071,She&#39;s gorgeous!
324,8072,Proactive
325,8120,Nice
326,8122,i like u..u r cute
327,8156,Inspiration
328,8165,Thanks ;)
329,8206,"you&#39;re gorgeous :)!
"
330,8223,"Congrats!!
"
331,8228,:]
332,8245,INCREIBLE
333,8246,Wow
